,要素ID,項目名,コンテキストID,相対年度,連結・個別,期間・時点,ユニットID,単位,値
0,jpdei_cor:NumberOfSubmissionDEI,提出回数、DEI,FilingDateInstant,提出日時点,その他,時点,pure,,1
1,jpcrp_cor:RevenueIFRSSummaryOfBusinessResults,売上収益（IFRS）、経営指標等,Prior4YearDuration,四期前,その他,期間,JPY,円,996101000000
2,jpcrp_cor:RevenueIFRSSummaryOfBusinessResults,売上収益（IFRS）、経営指標等,Prior3YearDuration,三期前,その他,期間,JPY,円,863381000000
3,jpcrp_cor:RevenueIFRSSummaryOfBusinessResults,売上収益（IFRS）、経営指標等,Prior2YearDuration,前々期,その他,期間,JPY,円,911426000000
4,jpcrp_cor:RevenueIFRSSummaryOfBusinessResults,売上収益（IFRS）、経営指標等,Prior1YearDuration,前期,その他,期間,JPY,円,1130397000000
5,jpcrp_cor:RevenueIFRSSummaryOfBusinessResults,売上収益（IFRS）、経営指標等,CurrentYearDuration,当期,その他,期間,JPY,円,1159999000000
6,jpcrp_cor:ProfitLossBeforeTaxIFRSSummaryOfBusinessResults,税引前利益又は税引前損失（△）（IFRS）、経営指標等,Prior4YearDuration,四期前,その他,期間,JPY,円,284000000
7,jpcrp_cor:ProfitLossBeforeTaxIFRSSummaryOfBusinessResults,税引前利益又は税引前損失（△）（IFRS）、経営指標等,Prior3YearDuration,三期前,その他,期間,JPY,円,-20000000000
8,jpcrp_cor:ProfitLossBeforeTaxIFRSSummaryOfBusinessResults,税引前利益又は税引前損失（△）（IFRS）、経営指標等,Prior2YearDuration,前々期,その他,期間,JPY,円,-23617000000
9,jpcrp_cor:ProfitLossBeforeTaxIFRSSummaryOfBusinessResults,税引前利益又は税引前損失（△）（IFRS）、経営指標等,Prior1YearDuration,前期,その他,期間,JPY,円,-101872000000
10,jpcrp_cor:ProfitLossBeforeTaxIFRSSummaryOfBusinessResults,税引前利益又は税引前損失（△）（IFRS）、経営指標等,CurrentYearDuration,当期,その他,期間,JPY,円,13566000000
11,jpcrp_cor:ProfitLossAttributableToOwnersOfParentIFRSSummaryOfBusinessResults,当期利益又は当期損失（△）：親会社の所有者に帰属（IFRS）、経営指標等,Prior4YearDuration,四期前,その他,期間,JPY,円,-3073000000
12,jpcrp_cor:ProfitLossAttributableToOwnersOfParentIFRSSummaryOfBusinessResults,当期利益又は当期損失（△）：親会社の所有者に帰属（IFRS）、経営指標等,Prior3YearDuration,三期前,その他,期間,JPY,円,-15211000000
13,jpcrp_cor:ProfitLossAttributableToOwnersOfParentIFRSSummaryOfBusinessResults,当期利益又は当期損失（△）：親会社の所有者に帰属（IFRS）、経営指標等,Prior2YearDuration,前々期,その他,期間,JPY,円,-26123000000
14,jpcrp_cor:ProfitLossAttributableToOwnersOfParentIFRSSummaryOfBusinessResults,当期利益又は当期損失（△）：親会社の所有者に帰属（IFRS）、経営指標等,Prior1YearDuration,前期,その他,期間,JPY,円,-103153000000
15,jpcrp_cor:ProfitLossAttributableToOwnersOfParentIFRSSummaryOfBusinessResults,当期利益又は当期損失（△）：親会社の所有者に帰属（IFRS）、経営指標等,CurrentYearDuration,当期,その他,期間,JPY,円,4521000000
16,jpcrp_cor:ComprehensiveIncomeAttributableToOwnersOfParentIFRSSummaryOfBusinessResults,当期包括利益：親会社の所有者に帰属（IFRS）、経営指標等,Prior4YearDuration,四期前,その他,期間,JPY,円,-24213000000
17,jpcrp_cor:ComprehensiveIncomeAttributableToOwnersOfParentIFRSSummaryOfBusinessResults,当期包括利益：親会社の所有者に帰属（IFRS）、経営指標等,Prior3YearDuration,三期前,その他,期間,JPY,円,18750000000
18,jpcrp_cor:ComprehensiveIncomeAttributableToOwnersOfParentIFRSSummaryOfBusinessResults,当期包括利益：親会社の所有者に帰属（IFRS）、経営指標等,Prior2YearDuration,前々期,その他,期間,JPY,円,34397000000
19,jpcrp_cor:ComprehensiveIncomeAttributableToOwnersOfParentIFRSSummaryOfBusinessResults,当期包括利益：親会社の所有者に帰属（IFRS）、経営指標等,Prior1YearDuration,前期,その他,期間,JPY,円,-60228000000
20,jpcrp_cor:ComprehensiveIncomeAttributableToOwnersOfParentIFRSSummaryOfBusinessResults,当期包括利益：親会社の所有者に帰属（IFRS）、経営指標等,CurrentYearDuration,当期,その他,期間,JPY,円,52545000000
21,jpcrp_cor:EquityAttributableToOwnersOfParentIFRSSummaryOfBusinessResults,親会社の所有者に帰属する持分（IFRS）、経営指標等,Prior4YearInstant,四期前時点,その他,時点,JPY,円,523745000000
22,jpcrp_cor:EquityAttributableToOwnersOfParentIFRSSummaryOfBusinessResults,親会社の所有者に帰属する持分（IFRS）、経営指標等,Prior3YearInstant,三期前時点,その他,時点,JPY,円,539888000000
23,jpcrp_cor:EquityAttributableToOwnersOfParentIFRSSummaryOfBusinessResults,親会社の所有者に帰属する持分（IFRS）、経営指標等,Prior2YearInstant,前々期末,その他,時点,JPY,円,549810000000
24,jpcrp_cor:EquityAttributableToOwnersOfParentIFRSSummaryOfBusinessResults,親会社の所有者に帰属する持分（IFRS）、経営指標等,Prior1YearInstant,前期末,その他,時点,JPY,円,487424000000
25,jpcrp_cor:EquityAttributableToOwnersOfParentIFRSSummaryOfBusinessResults,親会社の所有者に帰属する持分（IFRS）、経営指標等,CurrentYearInstant,当期末,その他,時点,JPY,円,539816000000
26,jpcrp_cor:TotalAssetsIFRSSummaryOfBusinessResults,総資産額（IFRS）、経営指標等,Prior4YearInstant,四期前時点,その他,時点,JPY,円,1276768000000
27,jpcrp_cor:TotalAssetsIFRSSummaryOfBusinessResults,総資産額（IFRS）、経営指標等,Prior3YearInstant,三期前時点,その他,時点,JPY,円,1299752000000
28,jpcrp_cor:TotalAssetsIFRSSummaryOfBusinessResults,総資産額（IFRS）、経営指標等,Prior2YearInstant,前々期末,その他,時点,JPY,円,1338124000000
29,jpcrp_cor:TotalAssetsIFRSSummaryOfBusinessResults,総資産額（IFRS）、経営指標等,Prior1YearInstant,前期末,その他,時点,JPY,円,1413777000000
30,jpcrp_cor:TotalAssetsIFRSSummaryOfBusinessResults,総資産額（IFRS）、経営指標等,CurrentYearInstant,当期末,その他,時点,JPY,円,1388052000000
31,jpcrp_cor:EquityToAssetRatioIFRSSummaryOfBusinessResults,１株当たり親会社所有者帰属持分（IFRS）、経営指標等,Prior4YearInstant,四期前時点,その他,時点,JPYPerShares,,1058.29
32,jpcrp_cor:EquityToAssetRatioIFRSSummaryOfBusinessResults,１株当たり親会社所有者帰属持分（IFRS）、経営指標等,Prior3YearInstant,三期前時点,その他,時点,JPYPerShares,,1093.98
